"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+3V3","1","TP_3V3","","","","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~"
"C1,C5,C6,C7,C8","5","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1,D2","2","1N4007W","","","","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf"
"F1","1","10A 250VAC 5x20mm","","","","Fuse:Fuse_1206_3216Metric",""
"GND1","1","TP_GND","","","","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~"
"J1","1","AC_MAINS_IN","","","","TerminalBlock_Degson:TerminalBlock_Degson_DG250-3.5-03P_1x03_P3.50mm_45Degree","~"
"J3","1","LOAD_CH1","","","","TerminalBlock_Degson:TerminalBlock_Degson_DG250-3.5-02P_1x02_P3.50mm_45Degree","~"
"J4","1","LOAD_CH2","","","","TerminalBlock_Degson:TerminalBlock_Degson_DG250-3.5-02P_1x02_P3.50mm_45Degree","~"
"J5","1","SW1_INPUT","","","","TerminalBlock_Degson:TerminalBlock_Degson_DG250-3.5-02P_1x02_P3.50mm_45Degree","~"
"J6","1","SW2_INPUT","","","","TerminalBlock_Degson:TerminalBlock_Degson_DG250-3.5-02P_1x02_P3.50mm_45Degree","~"
"K1,K2","2","G5Q-1-DC5","","","","Relay_THT:Relay_SPDT_Omron-G5Q-1",""
"Q1,Q2","2","MMBT8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1,R3","2","330","","","","Resistor_SMD:R_0603_1608Metric","~"
"R2,R5,R14,R15","4","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R6,R7,R8,R13","5","470k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R9,R11,R12,R16,R17","5","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10","1","1m","","","","Resistor_SMD:R_2512_6332Metric","~"
"RV1","1","275VAC MOV","","","","Varistor:RV_Disc_D7mm_W3.4mm_P5mm","~"
"RX1","1","TP_RX","","","","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~"
"TX1","1","TP_TX","","","","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~"
"U1","1","HLK-2M05","","","","XIAO_Series_Footprints:HLK-2M05",""
"U2","1","XIAO-ESP32-C6-DIP","","","","seeed esp32:XIAO-ESP32-C6-DIP",""
"U3,U4","2","PC817S","","","","Package_SO:SSOP-4_4.4x2.6mm_P1.27mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U5","1","HLW8012","","","","XIAO_Series_Footprints:SOIC8",""
